photograph,row,column,loc,ratio1,ratio2,CFUs,MCH,NP,date,time,treatment,cw/rw
controlRL.png,g,5,"('g', 5)",0.0,0.0,0.0
controlRL.png,g,4,"('g', 4)",5.955622064473129,1.54926655055551,4.406355513917619
controlRL.png,g,3,"('g', 3)",32.11207032060512,4.728281030916167,27.383789289688952
controlRL.png,g,2,"('g', 2)",0.030180517218613832,0.0,0.030180517218613832
controlRL.png,g,1,"('g', 1)",6.076344133347585,2.3641405154580837,3.7122036178895015
controlRL.png,h,12,"('h', 12)",1.3983639644624408,0.0,1.3983639644624408
controlRL.png,h,11,"('h', 11)",9.768427406424678,4.164911376168709,5.603516030255968
controlRL.png,h,10,"('h', 10)",0.0,0.0,0.0
controlRL.png,h,9,"('h', 9)",0.01006017240620461,0.0,0.01006017240620461
controlRL.png,h,8,"('h', 8)",4.1548512037625045,1.9315531019912853,2.2232981017712192
controlRL.png,h,7,"('h', 7)",3.7926849971391388,1.529146205743101,2.2635387913960376
controlRL.png,h,6,"('h', 6)",3.8731663763887756,1.629747929805147,2.2434184465836284
controlRL.png,h,5,"('h', 5)",7.736272580371346,2.847028790955905,4.889243789415441
controlRL.png,h,4,"('h', 4)",6.136705167784813,1.81083103311683,4.325874134667982
controlRL.png,h,3,"('h', 3)",5.804719478380061,2.33395999823947,3.470759480140591
controlRL.png,h,2,"('h', 2)",0.01006017240620461,0.0,0.01006017240620461
controlRL.png,h,1,"('h', 1)",0.0,0.0,0.0
photograph,row,column,loc,CFUs,MCH,NP
controlSYN.png,a,12,"('a', 12)",0.0,0.0,0.0
controlSYN.png,a,11,"('a', 11)",0.0,0.0,0.0
controlSYN.png,a,10,"('a', 10)",0.0,0.0,0.0
controlSYN.png,a,9,"('a', 9)",0.0,0.0,0.0
controlSYN.png,a,8,"('a', 8)",0.0,0.0,0.0
controlSYN.png,a,7,"('a', 7)",0.0,0.0,0.0
controlSYN.png,a,6,"('a', 6)",0.0,0.0,0.0
controlSYN.png,a,5,"('a', 5)",0.0,0.0,0.0
controlSYN.png,a,4,"('a', 4)",0.0,0.0,0.0
controlSYN.png,a,3,"('a', 3)",0.0,0.0,0.0
controlSYN.png,a,2,"('a', 2)",0.0,0.0,0.0
controlSYN.png,a,1,"('a', 1)",0.0,0.0,0.0
controlSYN.png,b,12,"('b', 12)",0.0,0.0,0.0
controlSYN.png,b,11,"('b', 11)",0.0,0.0,0.0
controlSYN.png,b,10,"('b', 10)",0.0,0.0,0.0
controlSYN.png,b,9,"('b', 9)",0.0,0.0,0.0
controlSYN.png,b,8,"('b', 8)",0.0,0.0,0.0
controlSYN.png,b,7,"('b', 7)",0.0,0.0,0.0
controlSYN.png,b,6,"('b', 6)",0.0,0.0,0.0
controlSYN.png,b,5,"('b', 5)",0.0,0.0,0.0
controlSYN.png,b,4,"('b', 4)",0.0,0.0,0.0
controlSYN.png,b,3,"('b', 3)",0.0,0.0,0.0
controlSYN.png,b,2,"('b', 2)",0.0,0.0,0.0
controlSYN.png,b,1,"('b', 1)",0.0,0.0,0.0
controlSYN.png,c,12,"('c', 12)",0.0,0.0,0.0
controlSYN.png,c,11,"('c', 11)",0.0,0.0,0.0
controlSYN.png,c,10,"('c', 10)",0.0,0.0,0.0
controlSYN.png,c,9,"('c', 9)",0.0,0.0,0.0
controlSYN.png,c,8,"('c', 8)",0.0,0.0,0.0
controlSYN.png,c,7,"('c', 7)",0.0,0.0,0.0
controlSYN.png,c,6,"('c', 6)",0.0,0.0,0.0
controlSYN.png,c,5,"('c', 5)",0.0,0.0,0.0
controlSYN.png,c,4,"('c', 4)",0.0,0.0,0.0
controlSYN.png,c,3,"('c', 3)",0.0,0.0,0.0
controlSYN.png,c,2,"('c', 2)",0.0,0.0,0.0
controlSYN.png,c,1,"('c', 1)",0.0,0.0,0.0
controlSYN.png,d,12,"('d', 12)",0.0,0.0,0.0
controlSYN.png,d,11,"('d', 11)",0.0,0.0,0.0
controlSYN.png,d,10,"('d', 10)",0.0,0.0,0.0
controlSYN.png,d,9,"('d', 9)",0.0,0.0,0.0
controlSYN.png,d,8,"('d', 8)",0.0,0.0,0.0
controlSYN.png,d,7,"('d', 7)",0.0,0.0,0.0
controlSYN.png,d,6,"('d', 6)",0.0,0.0,0.0
controlSYN.png,d,5,"('d', 5)",0.0,0.0,0.0
controlSYN.png,d,4,"('d', 4)",0.0,0.0,0.0
controlSYN.png,d,3,"('d', 3)",0.0,0.0,0.0
controlSYN.png,d,2,"('d', 2)",0.0,0.0,0.0
controlSYN.png,d,1,"('d', 1)",0.0,0.0,0.0
controlSYN.png,e,12,"('e', 12)",0.0,0.0,0.0
controlSYN.png,e,11,"('e', 11)",0.0,0.0,0.0
controlSYN.png,e,10,"('e', 10)",0.0,0.0,0.0
controlSYN.png,e,9,"('e', 9)",0.0,0.0,0.0
controlSYN.png,e,8,"('e', 8)",0.0,0.0,0.0
controlSYN.png,e,7,"('e', 7)",0.0,0.0,0.0
controlSYN.png,e,6,"('e', 6)",0.0,0.0,0.0
controlSYN.png,e,5,"('e', 5)",0.0,0.0,0.0
controlSYN.png,e,4,"('e', 4)",0.0,0.0,0.0
controlSYN.png,e,3,"('e', 3)",0.0,0.0,0.0
controlSYN.png,e,2,"('e', 2)",0.0,0.0,0.0
controlSYN.png,e,1,"('e', 1)",0.0,0.0,0.0
controlSYN.png,f,12,"('f', 12)",0.0,0.0,0.0
controlSYN.png,f,11,"('f', 11)",0.0,0.0,0.0
controlSYN.png,f,10,"('f', 10)",0.0,0.0,0.0
controlSYN.png,f,9,"('f', 9)",0.0,0.0,0.0
controlSYN.png,f,8,"('f', 8)",0.0,0.0,0.0
controlSYN.png,f,7,"('f', 7)",0.0,0.0,0.0
controlSYN.png,f,6,"('f', 6)",0.0,0.0,0.0
controlSYN.png,f,5,"('f', 5)",0.0,0.0,0.0
controlSYN.png,f,4,"('f', 4)",0.0,0.0,0.0
controlSYN.png,f,3,"('f', 3)",0.0,0.0,0.0
controlSYN.png,f,2,"('f', 2)",0.0,0.0,0.0
controlSYN.png,f,1,"('f', 1)",0.0,0.0,0.0
controlSYN.png,g,12,"('g', 12)",0.0,0.0,0.0
controlSYN.png,g,11,"('g', 11)",0.0,0.0,0.0
controlSYN.png,g,10,"('g', 10)",0.0,0.0,0.0
controlSYN.png,g,9,"('g', 9)",0.0,0.0,0.0
controlSYN.png,g,8,"('g', 8)",0.0,0.0,0.0
controlSYN.png,g,7,"('g', 7)",0.0,0.0,0.0
controlSYN.png,g,6,"('g', 6)",0.0,0.0,0.0
controlSYN.png,g,5,"('g', 5)",0.0,0.0,0.0
controlSYN.png,g,4,"('g', 4)",0.0,0.0,0.0
controlSYN.png,g,3,"('g', 3)",0.0,0.0,0.0
controlSYN.png,g,2,"('g', 2)",0.0,0.0,0.0
controlSYN.png,g,1,"('g', 1)",0.0,0.0,0.0
controlSYN.png,h,12,"('h', 12)",0.0,0.0,0.0
controlSYN.png,h,11,"('h', 11)",0.0,0.0,0.0
controlSYN.png,h,10,"('h', 10)",0.0,0.0,0.0
controlSYN.png,h,9,"('h', 9)",0.0,0.0,0.0
controlSYN.png,h,8,"('h', 8)",0.0,0.0,0.0
controlSYN.png,h,7,"('h', 7)",0.0,0.0,0.0
controlSYN.png,h,6,"('h', 6)",0.0,0.0,0.0
controlSYN.png,h,5,"('h', 5)",0.0,0.0,0.0
controlSYN.png,h,4,"('h', 4)",0.0,0.0,0.0
controlSYN.png,h,3,"('h', 3)",0.0,0.0,0.0
controlSYN.png,h,2,"('h', 2)",1.1140842128298734,1.0567884533129084,0.05729575951696492
controlSYN.png,h,1,"('h', 1)",1.047239160060081,0.0,1.047239160060081
