photograph,row,column,loc,ratio1,ratio2,date,time,treatment,cw/rw,CFUs lower,MCH lower,NP lower,CFUs middle,MCH middle,NP middle,CFUs upper,MCH upper,NP upper,alternative CFUs lower,alternative MCH lower, alternative NP lower, alternative CFUs middle, alternative MCH middle,alternative NP middle,alternative CFUs upper,alternative MCH upper,alternative NP upper
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,b,4,"('b', 4)",ratio1,ratio2,date,time,treatment,rotation,0.0016499045194143856,0.0,0.0016499045194143856,0.0010870196540668652,0.0,0.0010870196540668652,0.0006623696539317269,0.0,0.0006623696539317269,0,0,0,0.0010870196540668652,0.0,0.0010870196540668652,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,b,3,"('b', 3)",ratio1,ratio2,date,time,treatment,rotation,0.0016499045194143856,0.0,0.0016499045194143856,0.0010870196540668652,0.0,0.0010870196540668652,0.0006623696539317269,0.0,0.0006623696539317269,0,0,0,0.0010870196540668652,0.0,0.0010870196540668652,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,b,2,"('b', 2)",ratio1,ratio2,date,time,treatment,rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,b,1,"('b', 1)",ratio1,ratio2,date,time,treatment,rotation,0.38112794398472305,0.0,0.38112794398472305,0.25110154008944585,0.0,0.25110154008944585,0.15300739005822891,0.0,0.15300739005822891,0,0,0,0.25110154008944585,0.0,0.25110154008944585,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,c,12,"('c', 12)",ratio1,ratio2,date,time,treatment,rotation,1.2382533418204964,0.0,1.2382533418204964,0.8158082503771823,0.0,0.8158082503771823,0.49710842527576105,0.0,0.49710842527576105,0,0,0,0.8158082503771823,0.0,0.8158082503771823,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,c,11,"('c', 11)",ratio1,ratio2,date,time,treatment,rotation,0.0115493316359007,0.0,0.0115493316359007,0.007609137578468056,0.0,0.007609137578468056,0.0046365875775220885,0.0,0.0046365875775220885,0,0,0,0.007609137578468056,0.0,0.007609137578468056,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,c,10,"('c', 10)",ratio1,ratio2,date,time,treatment,rotation,0.030523233609166135,0.0,0.030523233609166135,0.020109863600237005,0.0,0.020109863600237005,0.012253838597736948,0.0,0.012253838597736948,0,0,0,0.020109863600237005,0.0,0.020109863600237005,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,c,9,"('c', 9)",ratio1,ratio2,date,time,treatment,rotation,14.124832590706555,4.221280712921706,9.90355187778485,9.305975258466432,2.7811397849300743,6.524835473536358,5.6705466073095145,1.6946727595843234,3.975873847725191,9.305975258466432,2.7811397849300743,6.524835473536358,9.305975258466432,2.7811397849300743,6.524835473536358,6.59023886141091,1.96952764010277,4.62071122130814
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,c,8,"('c', 8)",ratio1,ratio2,date,time,treatment,rotation,9.23616549968173,2.4880560152768934,6.7481094844048375,6.085136023466311,1.6392256383328325,4.4459103851334785,3.7079453227098074,0.9988534381290441,2.709091884580763,4.309328016140436,1.1608550640121076,3.1484729521283286,6.085136023466311,1.6392256383328325,4.4459103851334785,4.309328016140436,1.1608550640121076,3.1484729521283286
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,c,7,"('c', 7)",ratio1,ratio2,date,time,treatment,rotation,0.00577466581795035,0.0,0.00577466581795035,0.003804568789234028,0.0,0.003804568789234028,0.0023182937887610442,0.0,0.0023182937887610442,0,0,0,0.003804568789234028,0.0,0.003804568789234028,0,0,0
